,job_start_date,firm_name,gis_latitude,gis_longitude
208,2021-12-24,LIT MODE ELECL CONTG INC,40.632209,-73.887903
209,2021-07-06,CONSOLIDATED EDISON CO,40.677713,-73.88549
210,2023-01-04,PREMIER ELEC'L CONTR'S IN,40.634373,-74.019654
211,2021-10-28,SUNRUN SOLAR ELECTL CORP,40.590198,-73.958684
212,2021-04-27,ARGON ELECTRICAL CORP,40.781056,-73.984517
213,2023-01-10,FIVE J ELECTRIC CORP.,40.690289,-73.91424
214,2021-04-27,R & T ELECTRICAL CORP,40.737608,-74.002699
215,2021-07-06,VENTURE HOME SOLAR LLC,40.621965,-73.92914
216,2022-02-13,ACCURATE ELEC'L CORP.,40.68961,-73.912561
217,2022-05-18,POWERONE ELECT'L CONTRG,40.630199,-74.015052
218,2023-01-11,ACCURATE ELEC'L CORP.,40.62852,-73.976374
219,2021-12-24,LIT MODE ELECL CONTG INC,40.632597,-73.888338
220,2021-04-28,MACINTOSH ELECTRIC CORP,40.76562,-73.962846
221,2021-04-27,MLS ELECTRIC LLC,40.7714,-73.952597
222,2021-10-28,RONEY ELECTRIC INC,40.577623,-73.964423
223,2022-02-13,FRIED ELECTRIC CO.,40.685398,-73.951259
224,2021-12-24,LIT MODE ELECL CONTG INC,40.634706,-73.884353
225,2022-02-13,BERGER QUALITY ELEC'L CON,40.640949,-73.902979
226,2021-04-27,CENTURY ELECTRIC LLC,40.795686,-73.972906
227,2021-12-21,LIGHTEN UP ELEC'L SERVICE,40.661782,-73.959836
228,2021-04-27,CENTURY ELECTRIC LLC,40.795686,-73.972906
229,2023-01-08,CL ELECTRICAL CORP,40.600575,-73.974519
230,2021-05-03,ELECTRICAL SOLUTIONS LLC,40.732768,-73.981374
231,2021-04-27,BOROWIDE ELECT'L CONTR'S,40.767112,-73.968152
232,2022-06-10,DREAM TEAM ELEC'L CORP,40.663556,-73.981635
233,2018-03-29,"DIFAZIO ELECTRIC NY, INC",40.68847,-73.981055
234,2021-04-28,LOWY & DONNATH INC.,40.841153,-73.942691
235,2022-11-28,HEXAGON CONST & ELECL GRP,40.64726,-73.881114
236,2019-02-26,E & M ELECTRICAL NY CORP,40.787857,-73.977556
237,2022-05-18,POWERONE ELECT'L CONTRG,40.630199,-74.015052
238,2021-05-04,ELECTRICAL SOLUTIONS LLC,40.730008,-73.974668
239,2021-04-29,NELSON & TOM MAINT INC DB,40.717217,-74.000602
240,2021-04-27,TOP SHELF ELECTRIC CORP,40.761894,-73.966349
241,2023-01-27,S&R ELECTRICAL & MECHANIC,40.690387,-73.956289
242,2021-04-29,RALEIGH POWELL LIC ELEC,40.7133,-73.991188
243,2021-12-17,RONART ELECTRIC CO,40.67963,-73.895849
244,2021-12-24,LIT MODE ELECL CONTG INC,40.634475,-73.884112
245,2021-11-10,ACCURATE ELEC'L CORP.,40.764047,-73.970576
246,2023-02-13,KJK ELECTRIC INC,40.615158,-73.9958
247,2022-06-08,STEVEN FARKAS,40.774811,-73.958523
248,2021-07-06,"ABM ELECTRIC, INC",40.690353,-73.904803
